Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,1.11228101e-08,-8.55477326e-09
-178.0,0.0,0.0,-1.42006502e-07,7.01666392e-08
-176.0,0.0,0.0,-3.25314581e-08,1.00991424e-07
-174.0,0.0,0.0,-8.81418981e-08,6.06311668e-08
-172.0,0.0,0.0,-6.81936574e-08,1.69244784e-07
-170.0,0.0,0.0,-3.96863212e-08,7.86847628e-08
-168.0,0.0,0.0,-1.34725076e-07,1.63327083e-07
-166.0,0.0,0.0,-3.47582263e-08,4.81010298e-08
-164.0,0.0,0.0,1.10777076e-08,1.32150550e-07
-162.0,0.0,0.0,-1.12933494e-08,3.42531236e-07
-160.0,0.0,0.0,-4.99134006e-08,2.55381824e-07
-158.0,0.0,0.0,-9.44079823e-08,4.14140068e-07
-156.0,0.0,0.0,-1.04547581e-07,3.23268519e-07
-154.0,0.0,0.0,5.84927779e-08,4.21755138e-07
-152.0,0.0,0.0,3.27245191e-08,8.64312735e-07
-150.0,0.0,0.0,-2.55396613e-08,6.59121831e-07
-148.0,0.0,0.0,-1.22760989e-07,8.85251074e-07
-146.0,0.0,0.0,-1.75724680e-08,9.44351327e-07
-144.0,0.0,0.0,-1.23940029e-09,1.13004815e-06
-142.0,0.0,0.0,-5.42545839e-08,1.05987305e-06
-140.0,0.0,0.0,-1.68483169e-08,1.12598398e-06
-138.0,0.0,0.0,-2.41416858e-08,1.14382508e-06
-136.0,0.0,0.0,-3.01151025e-08,1.14580740e-06
-134.0,0.0,0.0,-3.28231803e-09,1.27505677e-06
-132.0,0.0,0.0,-7.88923628e-08,1.41250149e-06
-130.0,0.0,0.0,-2.71059149e-08,1.49534146e-06
-128.0,0.0,0.0,-9.59350453e-08,1.65252260e-06
-126.0,0.0,0.0,1.50587777e-07,1.64079048e-06
-124.0,0.0,0.0,-1.89057391e-07,1.68620725e-06
-122.0,0.0,0.0,2.66978455e-08,1.67040412e-06
-120.0,0.0,0.0,-4.52021115e-08,1.67974478e-06
-118.0,0.0,0.0,5.74830997e-08,1.73473899e-06
-116.0,0.0,0.0,-5.77643072e-08,1.84937836e-06
-114.0,0.0,0.0,-7.97676412e-08,1.85941781e-06
-112.0,0.0,0.0,3.35704401e-08,1.71806474e-06
-110.0,0.0,0.0,-1.33493890e-07,1.98026831e-06
-108.0,0.0,0.0,-8.43632265e-08,1.87708261e-06
-106.0,0.0,0.0,8.77694625e-08,1.55331844e-06
-104.0,0.0,0.0,-8.63672391e-08,1.38611117e-06
-102.0,0.0,0.0,-1.28548984e-07,1.31793998e-06
-100.0,0.0,0.0,-4.12351099e-08,1.54235436e-06
-98.0,0.0,0.0,4.90540783e-08,1.46080940e-06
-96.0,0.0,0.0,-6.94171945e-08,1.47091007e-06
-94.0,0.0,0.0,-3.87331054e-08,1.35352293e-06
-92.0,0.0,0.0,-1.69477615e-08,1.40871699e-06
-90.0,0.0,0.0,-1.30041941e-08,1.60481880e-06
-88.0,0.0,0.0,-1.07724149e-07,1.54823514e-06
-86.0,0.0,0.0,-1.26548403e-07,1.53348202e-06
-84.0,0.0,0.0,9.19173293e-08,1.40619125e-06
-82.0,0.0,0.0,-1.39684465e-08,1.49424223e-06
-80.0,0.0,0.0,-1.73297038e-07,1.40091930e-06
-78.0,0.0,0.0,1.28651226e-07,1.58703290e-06
-76.0,0.0,0.0,-1.50843716e-07,1.25673213e-06
-74.0,0.0,0.0,3.29937918e-08,1.32772625e-06
-72.0,0.0,0.0,3.00539660e-08,1.35234442e-06
-70.0,0.0,0.0,-1.65359831e-07,1.44482622e-06
-68.0,0.0,0.0,8.14278956e-08,1.15554175e-06
-66.0,0.0,0.0,-5.38061434e-08,1.21075287e-06
-64.0,0.0,0.0,4.44060853e-08,1.15276635e-06
-62.0,0.0,0.0,-2.26038032e-07,1.14356675e-06
-60.0,0.0,0.0,5.27234208e-08,1.21396734e-06
-58.0,0.0,0.0,-1.10649715e-08,1.07730909e-06
-56.0,0.0,0.0,-1.39658663e-07,9.19687946e-07
-54.0,0.0,0.0,6.10722845e-08,9.93135153e-07
-52.0,0.0,0.0,-1.12685450e-07,1.16533721e-06
-50.0,0.0,0.0,-3.25273124e-08,8.53168752e-07
-48.0,0.0,0.0,-8.77918273e-08,8.52190935e-07
-46.0,0.0,0.0,1.12261680e-07,9.96150772e-07
-44.0,0.0,0.0,-2.45005938e-07,1.19908510e-06
-42.0,0.0,0.0,1.62035201e-08,1.05244627e-06
-40.0,0.0,0.0,6.34363913e-08,1.29964778e-06
-38.0,0.0,0.0,-1.15085394e-07,1.37700856e-06
-36.0,0.0,0.0,-1.48379094e-07,1.47839613e-06
-34.0,0.0,0.0,3.84628090e-08,1.54306218e-06
-32.0,0.0,0.0,4.02555296e-08,1.41883672e-06
-30.0,0.0,0.0,-1.26555998e-07,1.53212464e-06
-28.0,0.0,0.0,5.59892000e-09,1.59932698e-06
-26.0,0.0,0.0,7.96454056e-08,1.74653682e-06
-24.0,0.0,0.0,-4.22862078e-08,1.64761650e-06
-22.0,0.0,0.0,-2.14924148e-08,1.66844811e-06
-20.0,0.0,0.0,4.54888555e-08,1.60631564e-06
-18.0,0.0,0.0,-1.65359300e-07,1.60832311e-06
-16.0,0.0,0.0,-1.08217477e-07,1.65425797e-06
-14.0,0.0,0.0,-8.50495547e-08,1.50807015e-06
-12.0,0.0,0.0,-1.26774612e-08,1.60380681e-06
-10.0,0.0,0.0,-1.31114556e-08,1.46535418e-06
-8.0,0.0,0.0,-2.04385620e-07,1.63948778e-06
-6.0,0.0,0.0,-3.75892007e-08,1.65686680e-06
-4.0,0.0,0.0,-1.07342193e-07,1.67298149e-06
-2.0,0.0,0.0,-8.11593666e-08,1.61126460e-06
0.0,0.0,0.0,5.30332149e-08,1.78324454e-06
2.0,0.0,0.0,-6.03955758e-08,1.72785221e-06
4.0,0.0,0.0,-2.03726623e-08,2.08953042e-06
6.0,0.0,0.0,1.97799682e-08,1.76812121e-06
8.0,0.0,0.0,-7.76929102e-08,1.82077656e-06
10.0,0.0,0.0,6.32920580e-08,1.95238656e-06
12.0,0.0,0.0,6.94442520e-08,2.18096307e-06
14.0,0.0,0.0,4.94542661e-08,2.27052828e-06
16.0,0.0,0.0,1.09158851e-08,2.30265466e-06
18.0,0.0,0.0,7.19073338e-08,2.58702860e-06
20.0,0.0,0.0,9.57651803e-08,2.59959970e-06
22.0,0.0,0.0,1.19179841e-07,2.52656910e-06
24.0,0.0,0.0,6.28251032e-08,2.61704313e-06
26.0,0.0,0.0,4.16815291e-09,2.85550531e-06
28.0,0.0,0.0,1.13546749e-07,2.68407467e-06
30.0,0.0,0.0,1.85110707e-07,2.75738358e-06
32.0,0.0,0.0,8.53193062e-08,2.78496015e-06
34.0,0.0,0.0,1.09558379e-07,2.69900768e-06
36.0,0.0,0.0,8.13955830e-08,2.86964216e-06
38.0,0.0,0.0,4.14207136e-09,3.02455883e-06
40.0,0.0,0.0,1.23936916e-07,2.80922314e-06
42.0,0.0,0.0,8.24154257e-08,3.12860873e-06
44.0,0.0,0.0,-1.09756016e-08,2.96241407e-06
46.0,0.0,0.0,5.58353161e-08,3.16397507e-06
48.0,0.0,0.0,1.83657795e-07,2.96431691e-06
50.0,0.0,0.0,-7.33939941e-08,2.72008549e-06
52.0,0.0,0.0,7.46722716e-08,3.00794181e-06
54.0,0.0,0.0,3.14739011e-08,2.72303049e-06
56.0,0.0,0.0,1.47692246e-07,2.89332351e-06
58.0,0.0,0.0,3.91761730e-08,2.77046043e-06
60.0,0.0,0.0,1.02321226e-07,2.92015242e-06
62.0,0.0,0.0,5.49305396e-08,2.87998958e-06
64.0,0.0,0.0,1.86252687e-07,2.83577800e-06
66.0,0.0,0.0,1.64491837e-07,2.91073274e-06
68.0,0.0,0.0,9.62058498e-08,2.69782520e-06
70.0,0.0,0.0,1.89898854e-07,3.00473146e-06
72.0,0.0,0.0,1.22134576e-07,2.77218071e-06
74.0,0.0,0.0,6.92190972e-08,2.91957800e-06
76.0,0.0,0.0,6.01797607e-08,2.62451118e-06
78.0,0.0,0.0,2.06126059e-07,2.66167152e-06
80.0,0.0,0.0,6.18697852e-08,2.50167588e-06
82.0,0.0,0.0,3.58254208e-08,2.49941078e-06
84.0,0.0,0.0,3.21282179e-07,2.62939865e-06
86.0,0.0,0.0,-1.30748166e-09,2.59776177e-06
88.0,0.0,0.0,1.49087337e-07,2.58969221e-06
90.0,0.0,0.0,1.17579165e-07,2.73603136e-06
92.0,0.0,0.0,1.46841871e-07,2.74528554e-06
94.0,0.0,0.0,1.55923828e-08,2.68755091e-06
96.0,0.0,0.0,8.05539772e-08,2.72989969e-06
98.0,0.0,0.0,1.33143643e-07,2.61397848e-06
100.0,0.0,0.0,5.83737574e-08,2.78542419e-06
102.0,0.0,0.0,2.05143945e-07,2.85801394e-06
104.0,0.0,0.0,2.44615061e-08,2.70081079e-06
106.0,0.0,0.0,1.24986415e-07,2.97079548e-06
108.0,0.0,0.0,6.44479760e-09,2.87360439e-06
110.0,0.0,0.0,9.38799844e-08,3.05153872e-06
112.0,0.0,0.0,2.05666800e-07,2.90480102e-06
114.0,0.0,0.0,-1.75306419e-08,2.96541682e-06
116.0,0.0,0.0,7.85767284e-08,3.05688923e-06
118.0,0.0,0.0,1.96011050e-07,3.12852988e-06
120.0,0.0,0.0,5.78660240e-08,2.99543658e-06
122.0,0.0,0.0,2.31749658e-07,3.13600773e-06
124.0,0.0,0.0,2.17032310e-07,3.00167257e-06
126.0,0.0,0.0,1.48193415e-07,2.82637625e-06
128.0,0.0,0.0,1.40966149e-07,3.11419459e-06
130.0,0.0,0.0,3.73318597e-07,2.88613704e-06
132.0,0.0,0.0,5.97150243e-08,3.04708833e-06
134.0,0.0,0.0,2.85272488e-07,3.00199317e-06
136.0,0.0,0.0,1.59946800e-07,2.82140532e-06
138.0,0.0,0.0,2.28724241e-07,3.18173813e-06
140.0,0.0,0.0,2.50706500e-07,3.16548343e-06
142.0,0.0,0.0,2.15779313e-09,3.23613484e-06
144.0,0.0,0.0,2.66266804e-07,3.38441525e-06
146.0,0.0,0.0,2.37754036e-07,3.28151786e-06
148.0,0.0,0.0,2.62103753e-07,3.43903520e-06
150.0,0.0,0.0,2.00439080e-07,3.58339105e-06
152.0,0.0,0.0,2.46078438e-07,3.33524254e-06
154.0,0.0,0.0,2.02676787e-07,3.26064718e-06
156.0,0.0,0.0,2.97593232e-07,3.24039962e-06
158.0,0.0,0.0,1.84656407e-07,3.13342599e-06
160.0,0.0,0.0,2.08985303e-07,3.20803634e-06
162.0,0.0,0.0,1.96105264e-07,3.15273058e-06
164.0,0.0,0.0,2.95020135e-07,2.98563603e-06
166.0,0.0,0.0,1.65069432e-07,3.07995473e-06
168.0,0.0,0.0,2.27235471e-07,3.31560047e-06
170.0,0.0,0.0,2.98057651e-07,3.28007665e-06
172.0,0.0,0.0,1.62621244e-07,3.52774079e-06
174.0,0.0,0.0,3.24247640e-07,3.51255306e-06
176.0,0.0,0.0,2.25221946e-07,3.28959618e-06
178.0,0.0,0.0,1.89156296e-07,3.31871294e-06
-180.0,0.0,0.0,-1.24153125e-08,-1.60201941e-07
-178.0,0.0,0.0,-1.50226157e-08,-3.48769034e-08
-176.0,0.0,0.0,-1.24187917e-07,-2.95852032e-07
-174.0,0.0,0.0,1.46768035e-07,-2.10961154e-07
-172.0,0.0,0.0,-1.39636024e-07,-4.66469573e-07
