Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-4.36046289e-08,-5.07158040e-08
-172.2,0.0,0.0,-5.06941380e-08,-2.53539675e-07
-164.3,0.0,0.0,-1.09476340e-07,-5.17529642e-07
-156.5,0.0,0.0,-1.65586692e-07,-5.93787385e-07
-148.7,0.0,0.0,-1.84424277e-07,-5.32120697e-07
-140.9,0.0,0.0,-1.67228727e-07,-7.11062256e-07
-133.0,0.0,0.0,-1.61114299e-07,-8.42911281e-07
-125.2,0.0,0.0,-1.34766652e-07,-8.54764034e-07
-117.4,0.0,0.0,-2.34570894e-07,-9.06407064e-07
-109.6,0.0,0.0,-2.35792398e-07,-7.26518085e-07
-101.7,0.0,0.0,-1.40243618e-07,-5.41364533e-07
-93.9,0.0,0.0,-1.71937979e-07,-4.32722583e-07
-86.1,0.0,0.0,-1.28843264e-07,-4.80319140e-07
-78.3,0.0,0.0,-1.17927225e-07,-5.42212166e-07
-70.4,0.0,0.0,-1.41791941e-07,-5.59277238e-07
-62.6,0.0,0.0,-7.29145086e-08,-6.57984321e-07
-54.8,0.0,0.0,-1.67662693e-07,-5.83497162e-07
-47.0,0.0,0.0,-1.04821901e-07,-7.98183273e-07
-39.1,0.0,0.0,-1.52371826e-07,-1.11416247e-06
-31.3,0.0,0.0,-1.25983547e-07,-1.25829336e-06
-23.5,0.0,0.0,-8.42639047e-08,-1.56593472e-06
-15.7,0.0,0.0,-9.33312173e-08,-1.45232457e-06
-7.8,0.0,0.0,-9.20479333e-08,-1.31390895e-06
0.0,0.0,0.0,-2.63545291e-08,-1.21311265e-06
7.8,0.0,0.0,-6.98491322e-09,-1.21208732e-06
15.7,0.0,0.0,-6.41434728e-08,-1.24426858e-06
23.5,0.0,0.0,-5.16828580e-08,-1.29888111e-06
31.3,0.0,0.0,-6.13281905e-08,-1.30265603e-06
39.1,0.0,0.0,-1.35883656e-07,-1.39070091e-06
47.0,0.0,0.0,-1.10152585e-07,-1.23160789e-06
54.8,0.0,0.0,-1.02144181e-07,-1.35876438e-06
62.6,0.0,0.0,-8.56466736e-08,-1.44511056e-06
70.4,0.0,0.0,-1.03929602e-07,-1.36798386e-06
78.3,0.0,0.0,-8.80806503e-08,-1.11225564e-06
86.1,0.0,0.0,-1.04211779e-07,-7.48107547e-07
93.9,0.0,0.0,-1.51103012e-07,-5.89383653e-07
101.7,0.0,0.0,-1.25371913e-07,-4.97628690e-07
109.6,0.0,0.0,-8.24822226e-08,-3.83808874e-07
117.4,0.0,0.0,-7.30310281e-08,-5.28407260e-07
125.2,0.0,0.0,-1.34010324e-07,-5.43505645e-07
133.0,0.0,0.0,-1.03753245e-07,-5.20810723e-07
140.9,0.0,0.0,-1.39710127e-07,-5.01372159e-07
148.7,0.0,0.0,-8.32908764e-08,-3.28408378e-07
156.5,0.0,0.0,-1.52760019e-07,-1.34103998e-07
164.3,0.0,0.0,-1.62717595e-07,-8.68259361e-08
172.2,0.0,0.0,-1.90130960e-07,-1.75207665e-07
