Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,1.15155179e-08,2.29154470e-08
-178.0,0.0,0.0,1.31119228e-08,-8.73096797e-09
-176.0,0.0,0.0,3.23771473e-08,-1.21924382e-08
-174.0,0.0,0.0,3.07260192e-08,2.06757159e-07
-172.0,0.0,0.0,3.40068134e-08,-8.46437169e-08
-170.0,0.0,0.0,8.80007675e-08,-2.80187432e-08
-168.0,0.0,0.0,3.74128084e-10,1.00645999e-08
-166.0,0.0,0.0,1.89870634e-08,-7.95773147e-08
-164.0,0.0,0.0,1.12414990e-07,-1.53589887e-07
-162.0,0.0,0.0,-7.35298157e-08,5.50470836e-08
-160.0,0.0,0.0,9.08103158e-08,1.03334927e-08
-158.0,0.0,0.0,-2.13136249e-08,2.24295567e-07
-156.0,0.0,0.0,3.61381159e-08,1.76014093e-07
-154.0,0.0,0.0,1.33336667e-07,1.77375665e-07
-152.0,0.0,0.0,3.14377674e-08,8.94450698e-08
-150.0,0.0,0.0,7.88417451e-08,1.98004641e-08
-148.0,0.0,0.0,7.57844865e-08,4.10472663e-08
-146.0,0.0,0.0,5.63563193e-08,1.10562204e-07
-144.0,0.0,0.0,2.69013268e-08,1.07298254e-07
-142.0,0.0,0.0,1.01389988e-07,-2.41443985e-08
-140.0,0.0,0.0,6.76026797e-08,-9.24655559e-08
-138.0,0.0,0.0,2.11894003e-08,1.92677398e-07
-136.0,0.0,0.0,4.59650540e-08,1.72083957e-08
-134.0,0.0,0.0,5.93583314e-08,-4.21041103e-08
-132.0,0.0,0.0,6.96036711e-08,7.77859929e-08
-130.0,0.0,0.0,1.74324054e-09,1.89120995e-07
-128.0,0.0,0.0,5.42871453e-08,2.54871398e-07
-126.0,0.0,0.0,1.03678700e-07,-9.69099151e-08
-124.0,0.0,0.0,-1.48615233e-09,1.94580549e-07
-122.0,0.0,0.0,8.64837974e-08,1.77058884e-07
-120.0,0.0,0.0,-4.53918682e-08,4.46629017e-08
-118.0,0.0,0.0,6.69108635e-08,2.19920504e-07
-116.0,0.0,0.0,-9.06049537e-08,3.30159231e-07
-114.0,0.0,0.0,1.35232768e-07,3.03601319e-07
-112.0,0.0,0.0,-3.60627139e-08,2.63764909e-07
-110.0,0.0,0.0,9.76457909e-08,2.45037876e-07
-108.0,0.0,0.0,-3.06100639e-08,3.90390224e-07
-106.0,0.0,0.0,-8.88052576e-08,2.07332551e-07
-104.0,0.0,0.0,-6.69649556e-08,2.25575611e-07
-102.0,0.0,0.0,-5.07113924e-08,2.69469212e-07
-100.0,0.0,0.0,2.05146094e-08,-1.27296758e-07
