Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-3.91143140e-08,-5.62792011e-08
-178.0,0.0,0.0,-2.09811683e-09,1.17382265e-07
-176.0,0.0,0.0,7.40166128e-08,4.82482226e-08
-174.0,0.0,0.0,9.45116789e-08,2.66776436e-07
-172.0,0.0,0.0,4.93367753e-08,3.01869029e-07
-170.0,0.0,0.0,3.01798581e-08,3.49828962e-07
-168.0,0.0,0.0,5.73502778e-08,3.99904193e-07
-166.0,0.0,0.0,1.57640360e-07,4.46966605e-07
-164.0,0.0,0.0,1.91299287e-08,5.47167382e-07
-162.0,0.0,0.0,9.48828850e-08,5.79806234e-07
-160.0,0.0,0.0,1.12322510e-07,3.80901932e-07
-158.0,0.0,0.0,9.60341596e-08,7.32816507e-07
-156.0,0.0,0.0,4.47360116e-08,4.61381300e-07
-154.0,0.0,0.0,2.13267492e-07,2.46688014e-07
-152.0,0.0,0.0,1.14343553e-07,5.42506002e-07
-150.0,0.0,0.0,1.12469739e-07,2.88225401e-07
-148.0,0.0,0.0,7.57943787e-08,3.65390111e-07
-146.0,0.0,0.0,4.54029242e-08,2.77840385e-07
-144.0,0.0,0.0,1.41446413e-07,2.62333776e-07
-142.0,0.0,0.0,-5.70890346e-09,9.98005576e-08
-140.0,0.0,0.0,1.16419694e-07,4.13921187e-08
-138.0,0.0,0.0,1.19992914e-07,-1.08112364e-08
-136.0,0.0,0.0,1.73467268e-07,5.43560725e-10
-134.0,0.0,0.0,-8.32913776e-08,-1.34202973e-07
-132.0,0.0,0.0,1.01855989e-07,-4.72670996e-08
-130.0,0.0,0.0,-1.10253796e-07,-6.79032899e-08
-128.0,0.0,0.0,3.14991553e-07,3.30842238e-08
-126.0,0.0,0.0,2.29748324e-08,4.74979090e-08
-124.0,0.0,0.0,1.42448400e-07,-7.43860155e-08
-122.0,0.0,0.0,6.13003231e-08,9.48042141e-08
-120.0,0.0,0.0,1.39989746e-07,-6.90859502e-08
-118.0,0.0,0.0,-4.32208806e-08,-8.55516273e-09
-116.0,0.0,0.0,1.53106305e-07,-7.80224745e-08
-114.0,0.0,0.0,1.32218978e-07,-1.36613504e-07
-112.0,0.0,0.0,9.01314356e-08,-9.37921922e-08
-110.0,0.0,0.0,-1.82116251e-08,-7.80273563e-08
-108.0,0.0,0.0,3.52991326e-08,-2.84321493e-08
-106.0,0.0,0.0,4.35310208e-08,-1.83165700e-07
-104.0,0.0,0.0,2.54991697e-08,-1.59029241e-08
-102.0,0.0,0.0,8.49619136e-08,8.00467558e-08
-100.0,0.0,0.0,-2.29116357e-08,-2.77766395e-07
-98.0,0.0,0.0,1.35017894e-07,-1.35299203e-07
-96.0,0.0,0.0,9.58655838e-08,-2.96958872e-07
-94.0,0.0,0.0,2.36780756e-09,-2.81588012e-07
-92.0,0.0,0.0,1.24737954e-07,-1.13562088e-07
-90.0,0.0,0.0,1.88519186e-07,-4.05302744e-07
-88.0,0.0,0.0,1.60782443e-07,-1.19912968e-07
-86.0,0.0,0.0,4.61429284e-08,-2.29688274e-07
-84.0,0.0,0.0,2.58407142e-08,-2.03254020e-07
-82.0,0.0,0.0,2.16227402e-07,5.41024810e-08
-80.0,0.0,0.0,8.37543070e-08,3.22518163e-08
-78.0,0.0,0.0,1.93033093e-07,2.79356766e-07
-76.0,0.0,0.0,6.36797341e-08,2.39851280e-07
-74.0,0.0,0.0,9.35687625e-08,1.30857038e-07
-72.0,0.0,0.0,-3.13991335e-08,1.13549808e-07
-70.0,0.0,0.0,1.70350551e-07,3.16388040e-08
-68.0,0.0,0.0,1.63496481e-07,2.46293251e-09
-66.0,0.0,0.0,7.14151816e-08,1.47638827e-07
-64.0,0.0,0.0,1.17498294e-07,2.07364425e-07
-62.0,0.0,0.0,1.68995403e-07,1.20549410e-07
-60.0,0.0,0.0,8.87722179e-08,2.64552858e-07
-58.0,0.0,0.0,9.64790454e-08,3.12814015e-07
-56.0,0.0,0.0,2.63998947e-07,2.33070730e-07
-54.0,0.0,0.0,1.13088952e-07,3.53582336e-07
-52.0,0.0,0.0,2.33801234e-07,1.88732405e-07
-50.0,0.0,0.0,1.23044416e-07,3.56345741e-07
-48.0,0.0,0.0,2.97523520e-07,2.54182224e-07
-46.0,0.0,0.0,1.39171030e-07,3.51731882e-07
-44.0,0.0,0.0,2.44476047e-07,3.32379073e-07
-42.0,0.0,0.0,1.71336817e-07,2.86294395e-07
-40.0,0.0,0.0,1.65724998e-07,1.13021767e-07
-38.0,0.0,0.0,2.59484656e-07,4.29584665e-07
-36.0,0.0,0.0,1.47839135e-07,2.65220257e-07
-34.0,0.0,0.0,1.35879048e-07,3.18452482e-07
-32.0,0.0,0.0,2.84424241e-07,2.99940749e-07
-30.0,0.0,0.0,1.37603954e-07,8.40990883e-08
-28.0,0.0,0.0,5.34464888e-08,2.63672028e-07
-26.0,0.0,0.0,8.98997598e-08,1.71533569e-07
-24.0,0.0,0.0,2.45034769e-07,2.01379514e-07
-22.0,0.0,0.0,1.49524409e-07,2.24947887e-07
-20.0,0.0,0.0,1.07605599e-07,1.82195437e-07
-18.0,0.0,0.0,1.77921193e-07,9.59379335e-08
-16.0,0.0,0.0,1.93043368e-07,6.33349313e-08
-14.0,0.0,0.0,1.54620256e-07,1.56627634e-07
-12.0,0.0,0.0,9.79069304e-08,3.69176169e-07
-10.0,0.0,0.0,1.57083274e-07,1.91792689e-07
-8.0,0.0,0.0,2.18515783e-07,2.29890723e-07
-6.0,0.0,0.0,1.79712500e-07,1.63240607e-07
-4.0,0.0,0.0,1.14327798e-07,1.83815503e-07
-2.0,0.0,0.0,9.68376685e-08,6.60080023e-08
0.0,0.0,0.0,1.25076047e-07,1.39312760e-07
2.0,0.0,0.0,1.15733610e-07,-1.42338888e-07
4.0,0.0,0.0,1.61346692e-07,5.45345261e-08
6.0,0.0,0.0,1.45570190e-07,7.41135597e-08
8.0,0.0,0.0,-7.43297528e-09,-1.98416406e-07
10.0,0.0,0.0,-3.32498016e-08,2.46797622e-08
12.0,0.0,0.0,1.56806533e-07,2.29412896e-07
14.0,0.0,0.0,4.96712222e-08,-6.64313434e-08
16.0,0.0,0.0,1.00496041e-07,1.83124257e-07
18.0,0.0,0.0,5.76252887e-08,1.76567700e-07
20.0,0.0,0.0,1.76407633e-07,1.48730907e-07
22.0,0.0,0.0,8.76064150e-08,1.11404677e-07
24.0,0.0,0.0,1.66754858e-07,6.01282968e-08
26.0,0.0,0.0,4.85827358e-08,1.09244367e-07
28.0,0.0,0.0,6.74533400e-08,1.42185117e-07
30.0,0.0,0.0,1.17322350e-07,5.87879307e-08
32.0,0.0,0.0,1.27400123e-08,4.98511574e-08
34.0,0.0,0.0,-1.43676978e-08,-3.74283817e-08
36.0,0.0,0.0,1.34482198e-07,-1.94648020e-07
38.0,0.0,0.0,-3.49378971e-09,-3.98697592e-07
40.0,0.0,0.0,4.24970988e-09,-4.90004280e-07
42.0,0.0,0.0,3.79481770e-08,-5.49496795e-07
44.0,0.0,0.0,-1.33129690e-07,-4.01785236e-07
46.0,0.0,0.0,-3.63629312e-08,-3.00832714e-07
48.0,0.0,0.0,1.84972124e-08,-7.47917434e-07
50.0,0.0,0.0,-2.21303005e-08,-7.58372666e-07
52.0,0.0,0.0,-8.19461037e-08,-5.48152593e-07
54.0,0.0,0.0,-6.47185569e-09,-6.12309638e-07
56.0,0.0,0.0,9.12774448e-08,-4.55989987e-07
58.0,0.0,0.0,1.33923910e-08,-7.02530294e-07
60.0,0.0,0.0,-4.46030724e-08,-6.58939116e-07
62.0,0.0,0.0,9.86768017e-08,-6.09805995e-07
64.0,0.0,0.0,5.08431273e-08,-6.38718062e-07
66.0,0.0,0.0,-8.01867640e-08,-4.56652439e-07
