Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-5.51841385e-09,-1.35299505e-07
-172.2,0.0,0.0,-3.09083130e-08,-2.71617833e-07
-164.3,0.0,0.0,1.97915635e-08,-3.33843270e-07
-156.5,0.0,0.0,2.05263268e-08,-2.38500325e-07
-148.7,0.0,0.0,3.60847719e-08,1.97574462e-08
-140.9,0.0,0.0,3.03217603e-08,1.54194505e-07
-133.0,0.0,0.0,9.30258259e-08,2.96062546e-07
-125.2,0.0,0.0,1.18285236e-07,4.64445622e-07
-117.4,0.0,0.0,1.21080987e-07,5.63671670e-07
-109.6,0.0,0.0,1.99636360e-07,6.25548979e-07
-101.7,0.0,0.0,2.43309325e-07,6.68663049e-07
-93.9,0.0,0.0,1.84591357e-07,6.27433129e-07
-86.1,0.0,0.0,1.90196288e-07,4.64662546e-07
-78.3,0.0,0.0,1.88996725e-07,2.52255170e-07
-70.4,0.0,0.0,1.89573004e-07,-7.63960147e-08
-62.6,0.0,0.0,1.51601887e-07,-1.48059782e-07
-54.8,0.0,0.0,1.22749551e-07,3.20989421e-08
-47.0,0.0,0.0,1.13462983e-07,1.66777872e-07
-39.1,0.0,0.0,1.53662518e-07,1.64344876e-07
-31.3,0.0,0.0,1.68561707e-07,1.13815802e-07
-23.5,0.0,0.0,2.28411385e-07,7.82107063e-09
-15.7,0.0,0.0,2.38246033e-07,-5.64433801e-08
-7.8,0.0,0.0,1.65819816e-07,-3.46622116e-08
0.0,0.0,0.0,2.38712561e-07,9.35699260e-08
7.8,0.0,0.0,2.25118054e-07,3.07601308e-07
15.7,0.0,0.0,2.32282674e-07,6.83380125e-08
23.5,0.0,0.0,2.07692354e-07,8.28203785e-08
31.3,0.0,0.0,1.84988281e-07,1.24622271e-07
39.1,0.0,0.0,1.67039694e-07,2.59095660e-07
47.0,0.0,0.0,1.71606966e-07,2.98210459e-07
54.8,0.0,0.0,1.69213864e-07,3.57240581e-07
62.6,0.0,0.0,1.08798539e-07,4.17667292e-07
70.4,0.0,0.0,1.56077400e-07,3.37638557e-07
78.3,0.0,0.0,9.68619070e-08,2.14326923e-07
86.1,0.0,0.0,7.17292628e-08,-1.23415422e-07
93.9,0.0,0.0,8.54780719e-08,-8.54328225e-08
101.7,0.0,0.0,1.13759986e-07,-2.13151259e-07
109.6,0.0,0.0,1.28107390e-07,-4.00302556e-07
117.4,0.0,0.0,7.28723998e-08,-2.73895018e-07
125.2,0.0,0.0,3.21488419e-08,-2.24487552e-07
133.0,0.0,0.0,-9.20884389e-09,-2.23135729e-07
140.9,0.0,0.0,-7.54004490e-09,-3.25031111e-07
148.7,0.0,0.0,-2.32082823e-09,-3.08845862e-07
156.5,0.0,0.0,-2.56691137e-08,-2.50394388e-07
164.3,0.0,0.0,6.91849586e-08,-2.22533102e-07
172.2,0.0,0.0,7.17226558e-08,7.35222705e-09
