Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,4.69562976e-08,-5.63358820e-08
-179.0,0.0,0.0,-1.14360352e-07,6.92956935e-08
-178.0,0.0,0.0,1.19777731e-07,-6.05242200e-08
-177.0,0.0,0.0,-1.35563187e-07,1.73487645e-07
-176.0,0.0,0.0,-2.94156889e-08,2.13444732e-07
-175.0,0.0,0.0,-3.39747947e-08,2.75274436e-07
-174.0,0.0,0.0,2.38212609e-07,-5.40644998e-07
-173.0,0.0,0.0,8.63175702e-08,3.82070948e-07
-172.0,0.0,0.0,-2.04679571e-08,-1.88007779e-07
-171.0,0.0,0.0,-1.10300910e-07,-2.53592676e-07
-170.0,0.0,0.0,-7.77120950e-08,1.52836450e-07
-169.0,0.0,0.0,-2.84194602e-08,4.77463125e-07
-168.0,0.0,0.0,1.94446570e-07,3.97069139e-07
-167.0,0.0,0.0,-7.55186355e-08,1.44686290e-07
-166.0,0.0,0.0,1.99404600e-08,3.35470798e-07
-165.0,0.0,0.0,-1.08140308e-07,3.81985741e-07
-164.0,0.0,0.0,1.31154671e-07,2.07599422e-07
-163.0,0.0,0.0,9.95420132e-08,2.87512224e-07
-162.0,0.0,0.0,2.47434001e-07,6.04455355e-07
-161.0,0.0,0.0,-5.31231557e-08,3.82987319e-07
-160.0,0.0,0.0,3.37500118e-08,4.55257158e-07
-159.0,0.0,0.0,1.24493042e-07,4.82232406e-07
-158.0,0.0,0.0,-2.34134964e-08,1.06717026e-07
-157.0,0.0,0.0,1.32618401e-07,4.00793972e-07
-156.0,0.0,0.0,3.21795349e-08,3.93757982e-07
-155.0,0.0,0.0,9.37515690e-09,4.38665138e-07
-154.0,0.0,0.0,-1.65024330e-07,5.99944897e-07
-153.0,0.0,0.0,1.17057623e-07,3.11106746e-07
-152.0,0.0,0.0,3.02524117e-07,4.04207042e-07
-151.0,0.0,0.0,-4.40097306e-08,6.82227083e-07
-150.0,0.0,0.0,-5.96139702e-08,6.63503754e-07
-149.0,0.0,0.0,6.54991848e-08,5.50626985e-07
-148.0,0.0,0.0,-7.22488229e-09,2.79478089e-07
-147.0,0.0,0.0,1.06984804e-07,5.82252209e-07
-146.0,0.0,0.0,1.39572235e-08,8.83166736e-07
-145.0,0.0,0.0,4.28177537e-08,5.32929491e-07
-144.0,0.0,0.0,1.37757686e-08,6.57774773e-07
-143.0,0.0,0.0,1.12552610e-09,9.77990387e-07
-142.0,0.0,0.0,-6.61692522e-08,9.62174838e-07
-141.0,0.0,0.0,5.33709185e-08,7.73843472e-07
-140.0,0.0,0.0,-7.28319007e-09,7.66852945e-07
-139.0,0.0,0.0,-2.11644533e-07,1.19028029e-06
-138.0,0.0,0.0,3.88756843e-07,9.01823624e-07
-137.0,0.0,0.0,-1.32762516e-07,6.56466009e-07
-136.0,0.0,0.0,1.59513020e-08,1.19615749e-06
-135.0,0.0,0.0,-5.62898927e-08,8.23436227e-07
-134.0,0.0,0.0,1.11298807e-07,9.65705610e-07
-133.0,0.0,0.0,-1.29186499e-07,1.06070745e-06
-132.0,0.0,0.0,1.66438983e-07,4.40314652e-07
-131.0,0.0,0.0,6.12426023e-08,8.72588685e-07
-130.0,0.0,0.0,-7.18080580e-08,9.90787014e-07
-129.0,0.0,0.0,4.11076051e-08,4.29547117e-07
-128.0,0.0,0.0,-5.40189024e-08,9.87843610e-07
-127.0,0.0,0.0,-2.29001439e-07,1.05096583e-06
-126.0,0.0,0.0,2.93177843e-07,1.06082661e-06
-125.0,0.0,0.0,-1.35980600e-07,8.42257502e-07
-124.0,0.0,0.0,1.35967041e-07,9.57821063e-07
-123.0,0.0,0.0,2.20583626e-09,8.54074978e-07
-122.0,0.0,0.0,6.34134253e-08,1.12536110e-06
-121.0,0.0,0.0,-2.29597379e-07,8.31504384e-07
-120.0,0.0,0.0,-2.35380262e-08,1.14696223e-06
-119.0,0.0,0.0,1.76165398e-07,9.65367529e-07
-118.0,0.0,0.0,-2.95691866e-08,9.67617838e-07
-117.0,0.0,0.0,1.41034659e-07,9.09817254e-07
-116.0,0.0,0.0,-1.80631487e-07,1.22207776e-06
-115.0,0.0,0.0,2.67877987e-07,7.20622151e-07
-114.0,0.0,0.0,-1.89377969e-07,1.20668100e-06
-113.0,0.0,0.0,-2.35510608e-07,9.66161469e-07
-112.0,0.0,0.0,-4.96049987e-09,9.95106233e-07
-111.0,0.0,0.0,1.72768833e-07,1.16556512e-06
-110.0,0.0,0.0,-1.69459097e-07,1.11399529e-06
-109.0,0.0,0.0,-1.41074793e-07,1.08392133e-06
-108.0,0.0,0.0,2.35931206e-07,1.04508093e-06
-107.0,0.0,0.0,-2.06737631e-07,8.42102650e-07
-106.0,0.0,0.0,-8.90064123e-08,1.16827929e-06
-105.0,0.0,0.0,8.25915171e-08,1.57687207e-06
-104.0,0.0,0.0,-1.46372191e-07,1.15037515e-06
-103.0,0.0,0.0,-3.44088850e-08,1.50746318e-06
-102.0,0.0,0.0,-2.20298638e-07,1.17220055e-06
-101.0,0.0,0.0,1.18202267e-07,1.04294497e-06
-100.0,0.0,0.0,-3.33227993e-07,1.08622450e-06
-99.0,0.0,0.0,-5.64546420e-08,1.14044984e-06
-98.0,0.0,0.0,-1.45100528e-07,8.10570184e-07
-97.0,0.0,0.0,-1.13041604e-07,1.14817763e-06
-96.0,0.0,0.0,-5.59106013e-08,1.02216593e-06
-95.0,0.0,0.0,-2.23776127e-07,1.23598985e-06
-94.0,0.0,0.0,4.46239886e-08,6.39923877e-07
-93.0,0.0,0.0,-1.85762057e-07,1.21666413e-06
-92.0,0.0,0.0,-8.14814285e-08,7.75922985e-07
-91.0,0.0,0.0,4.59226549e-08,1.19375919e-06
-90.0,0.0,0.0,-3.42569558e-07,8.29662411e-07
-89.0,0.0,0.0,-1.77589080e-07,1.04027038e-06
-88.0,0.0,0.0,-1.60121528e-07,9.51803280e-07
-87.0,0.0,0.0,-1.31017440e-08,1.03974625e-06
-86.0,0.0,0.0,-2.81011512e-07,7.54052047e-07
-85.0,0.0,0.0,-1.24445185e-07,9.80174254e-07
-84.0,0.0,0.0,5.63713615e-08,7.61073314e-07
-83.0,0.0,0.0,-4.48696279e-07,6.86247736e-07
-82.0,0.0,0.0,2.09247773e-07,5.38857948e-07
-81.0,0.0,0.0,-4.54320200e-07,4.58952469e-07
-80.0,0.0,0.0,1.68137031e-07,6.98181770e-07
-79.0,0.0,0.0,-2.77862758e-07,6.76869671e-07
-78.0,0.0,0.0,-1.32070365e-07,5.10469124e-07
