Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-6.33233529e-09,-2.50553907e-08
-172.2,0.0,0.0,1.75284991e-08,-2.51258840e-08
-164.3,0.0,0.0,-5.80315192e-08,-2.34884283e-07
-156.5,0.0,0.0,-5.58684609e-08,-3.92417434e-07
-148.7,0.0,0.0,-8.73510372e-08,-3.16221082e-07
-140.9,0.0,0.0,-1.14469125e-07,-1.68741363e-07
-133.0,0.0,0.0,-1.10498920e-07,1.82161146e-07
-125.2,0.0,0.0,-1.07167523e-08,5.42809133e-07
-117.4,0.0,0.0,-7.36097312e-08,6.92061703e-07
-109.6,0.0,0.0,-6.82160658e-08,5.85612613e-07
-101.7,0.0,0.0,-1.11736884e-07,5.81810495e-07
-93.9,0.0,0.0,-1.06407778e-07,5.99181612e-07
-86.1,0.0,0.0,-1.78962446e-07,8.96307101e-07
-78.3,0.0,0.0,-1.77816750e-07,9.36196623e-07
-70.4,0.0,0.0,-1.15300449e-07,9.19708281e-07
-62.6,0.0,0.0,-1.65308327e-07,7.91825729e-07
-54.8,0.0,0.0,-9.68076318e-08,8.52929940e-07
-47.0,0.0,0.0,-1.17639869e-07,7.93789997e-07
-39.1,0.0,0.0,-1.28173529e-07,5.85466828e-07
-31.3,0.0,0.0,-6.66462287e-08,6.13227896e-07
-23.5,0.0,0.0,-1.30519419e-07,4.21532618e-07
-15.7,0.0,0.0,-1.13409481e-07,2.70792763e-07
-7.8,0.0,0.0,-1.05274836e-07,4.14393973e-07
0.0,0.0,0.0,-1.02132695e-07,4.70132024e-07
7.8,0.0,0.0,-8.02655554e-08,4.14232015e-07
15.7,0.0,0.0,-7.31408753e-08,2.24325060e-07
23.5,0.0,0.0,-8.23281336e-08,3.00304233e-08
31.3,0.0,0.0,-1.42878409e-07,8.42911260e-08
39.1,0.0,0.0,-4.43277670e-08,7.71825165e-08
47.0,0.0,0.0,-9.61983499e-08,2.21891324e-07
54.8,0.0,0.0,-9.89512130e-08,3.97002845e-08
62.6,0.0,0.0,-1.76327898e-07,3.03693103e-07
70.4,0.0,0.0,-1.99428742e-07,1.53416207e-07
78.3,0.0,0.0,-2.51208483e-07,-1.07101326e-07
86.1,0.0,0.0,-2.02081172e-07,-8.36262055e-08
93.9,0.0,0.0,-1.87453454e-07,-3.09714266e-07
101.7,0.0,0.0,-2.00719991e-07,-1.58474317e-07
109.6,0.0,0.0,-1.71626199e-07,-5.45307404e-08
117.4,0.0,0.0,-1.75258110e-07,-2.45824070e-08
125.2,0.0,0.0,-2.01784508e-07,-1.59610232e-07
133.0,0.0,0.0,-1.61526542e-07,-4.02119470e-08
140.9,0.0,0.0,-1.46576491e-07,9.86220897e-08
148.7,0.0,0.0,-2.19502887e-07,2.93923032e-07
156.5,0.0,0.0,-1.74648134e-07,3.53256513e-07
164.3,0.0,0.0,-1.95793558e-07,3.28619991e-07
172.2,0.0,0.0,-1.41832836e-07,5.26235970e-07
