Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,2.08484524e-08,-2.97512378e-08
-172.2,0.0,0.0,7.23320425e-09,-6.58807376e-08
-164.3,0.0,0.0,-2.59145036e-08,-2.00538030e-08
-156.5,0.0,0.0,-2.94640724e-08,-1.57303627e-08
-148.7,0.0,0.0,-2.48334179e-08,-1.19234915e-07
-140.9,0.0,0.0,-1.38798055e-08,-5.70550119e-08
-133.0,0.0,0.0,-7.01945841e-08,-1.75310451e-08
-125.2,0.0,0.0,-8.74642738e-09,-1.34116601e-07
-117.4,0.0,0.0,-8.19791489e-09,-3.58844611e-07
-109.6,0.0,0.0,-1.00418632e-09,-4.18577759e-07
-101.7,0.0,0.0,1.16392062e-08,-2.55384008e-07
-93.9,0.0,0.0,1.71076548e-08,-2.10621963e-07
-86.1,0.0,0.0,2.48073866e-08,-2.13508617e-07
-78.3,0.0,0.0,2.53660339e-08,-3.25655895e-07
-70.4,0.0,0.0,-3.08374948e-08,-1.73999503e-07
-62.6,0.0,0.0,3.83331992e-09,-2.44880552e-07
-54.8,0.0,0.0,-2.36987257e-08,-1.55267180e-07
-47.0,0.0,0.0,4.32404814e-10,-1.51037475e-07
-39.1,0.0,0.0,-1.94999191e-08,-1.24547900e-07
-31.3,0.0,0.0,-2.29195364e-08,-2.02281747e-07
-23.5,0.0,0.0,-3.40177640e-08,1.50078841e-08
-15.7,0.0,0.0,-3.44453122e-08,2.33485563e-08
-7.8,0.0,0.0,-8.01913898e-08,9.47498978e-08
0.0,0.0,0.0,-8.97796017e-08,3.90176075e-08
7.8,0.0,0.0,-1.37423691e-07,-1.58837388e-07
15.7,0.0,0.0,-8.94454945e-08,-3.53553723e-07
23.5,0.0,0.0,-1.27539984e-07,-1.48825733e-07
31.3,0.0,0.0,-1.37297919e-07,-3.68019357e-08
39.1,0.0,0.0,-1.60876729e-07,8.00444105e-08
47.0,0.0,0.0,-1.71997877e-07,-2.72459224e-08
54.8,0.0,0.0,-1.79959926e-07,2.67514848e-09
62.6,0.0,0.0,-1.39055439e-07,-1.06953723e-07
70.4,0.0,0.0,-1.29241216e-07,-3.74595391e-07
78.3,0.0,0.0,-1.55310114e-07,-4.35509116e-07
86.1,0.0,0.0,-1.60381307e-07,-5.42533019e-07
93.9,0.0,0.0,-1.89730057e-07,-6.19220118e-07
101.7,0.0,0.0,-1.30405662e-07,-7.26848651e-07
109.6,0.0,0.0,-1.74887284e-07,-8.78380278e-07
117.4,0.0,0.0,-6.52739937e-08,-8.56031480e-07
125.2,0.0,0.0,-6.10129938e-08,-6.44226912e-07
133.0,0.0,0.0,-5.60514937e-08,-7.98761462e-07
140.9,0.0,0.0,-5.12988970e-08,-1.02523481e-06
148.7,0.0,0.0,-9.23554141e-08,-1.01842907e-06
156.5,0.0,0.0,-1.17341731e-07,-1.10020721e-06
164.3,0.0,0.0,-1.46396551e-07,-1.09709260e-06
172.2,0.0,0.0,-1.37291799e-07,-1.12134189e-06
